DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20170421,120000,118.8700000,119.8600000,118.0500000,119.6600000,1471200
20170421,130000,119.6600000,119.9000000,119.4700000,119.8000000,465000
20170421,140000,119.8200000,119.9900000,119.3000000,119.8200000,412300
20170421,150000,119.8500000,120.3400000,119.6200000,120.0900000,731100
20170421,160000,120.0900000,120.7900000,120.0200000,120.6000000,722100
20170421,170000,120.5500000,120.6200000,119.8800000,120.2000000,520500
20170421,180000,120.1500000,120.6600000,119.5100000,119.6200000,720800
20170421,190000,119.6100000,120.1400000,119.3100000,120.0800000,1318000
20170424,110000,121.0000000,122.5500000,120.8000000,121.5300000,1454600
20170424,120000,121.5100000,122.8200000,121.3600000,122.6300000,807600
20170424,130000,122.6400000,122.7200000,122.1300000,122.3100000,622300
20170424,140000,122.3100000,122.5900000,122.0000000,122.3700000,616400
20170424,150000,122.3500000,122.6800000,122.2800000,122.6300000,150300
20170424,160000,122.6800000,123.0700000,122.5100000,122.7200000,311100
20170424,170000,122.6700000,123.0800000,122.5100000,122.9200000,282700
20170424,180000,122.8800000,123.0600000,122.3300000,122.8200000,651700
20170424,190000,122.8300000,123.4900000,122.5400000,123.4900000,697800
20170425,110000,123.6400000,123.6400000,121.5900000,122.8200000,1416500
20170425,120000,122.8100000,124.0100000,122.3700000,123.8600000,655000
20170425,130000,123.7800000,124.1100000,122.8800000,123.1900000,648500
20170425,140000,123.1800000,123.8900000,123.1100000,123.7700000,392100
20170425,150000,123.7400000,123.8000000,123.4200000,123.5500000,186600
20170425,160000,123.5500000,123.7600000,122.9900000,123.0800000,430300
20170425,170000,123.0600000,123.4900000,122.8200000,123.2100000,423800
20170425,180000,123.2200000,123.9500000,123.1700000,123.7800000,396600
20170425,190000,123.7200000,123.9500000,123.3900000,123.8800000,303100
20170426,110000,124.0000000,124.3700000,123.5100000,124.2200000,442700
20170426,120000,124.2500000,124.3400000,122.9100000,122.9400000,666400
20170426,130000,122.9100000,123.5700000,122.7000000,123.5300000,234500
20170426,140000,123.5600000,123.5700000,123.1400000,123.5400000,129800
20170426,150000,123.5100000,123.9500000,123.4300000,123.7600000,133900
20170426,160000,123.8000000,124.8000000,123.5700000,124.1300000,493100
20170426,170000,124.1500000,124.9700000,124.0900000,124.8900000,370600
20170426,180000,124.9500000,125.7700000,124.9000000,125.7500000,630100
20170426,190000,125.7400000,125.7500000,125.0100000,125.6000000,412600
20170427,110000,125.0100000,125.0800000,124.2500000,124.7700000,657700
20170427,120000,124.7700000,125.3700000,124.5000000,124.6600000,394100
20170427,130000,124.7400000,125.3500000,124.5300000,124.5900000,341900
20170427,140000,124.5700000,124.9600000,124.0400000,124.7000000,476500
20170427,150000,124.7000000,125.2800000,124.2700000,124.4200000,397000
20170427,160000,124.3300000,124.8000000,123.9000000,124.4900000,374600
20170427,170000,124.5000000,125.2000000,124.1700000,125.0100000,334900
20170427,180000,124.9600000,125.0400000,124.5200000,124.5200000,227600
20170427,190000,124.5200000,124.7900000,124.3300000,124.7100000,263800
